[2025-06-05 18:24:52,404: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:24:52,405: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:24:52,407: INFO: app]: ID card type selected: AADHAR
[2025-06-05 18:24:52,408: INFO: app]: Header set for Aadhar Card registration.
[2025-06-05 18:24:52,482: INFO: app]: ID card image loaded.
[2025-06-05 18:24:52,496: INFO: preprocess]: contours are found at, (0, 0, 1280, 877)
[2025-06-05 18:24:52,497: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2025-06-05 18:24:52,529: INFO: app]: ID card ROI extracted.
[2025-06-05 18:24:52,529: INFO: face_verification]: Extracting face...
[2025-06-05 18:24:52,886: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:24:52,891: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:24:52,920: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2025-06-05 18:24:52,921: INFO: app]: Faces extracted and saved.
[2025-06-05 18:24:52,921: INFO: face_verification]: Verifying the images....
[2025-06-05 18:24:52,921: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:24:52,922: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:24:54,891: INFO: face_verification]: Faces are not verified as the same person
[2025-06-05 18:24:54,892: INFO: app]: Face verification status: failed.
[2025-06-05 20:05:27,436: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-06-05 20:05:53,597: WARNING: module_wrapper]: From C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\.venv\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2025-06-05 20:05:54,379: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-06-05 20:05:54,403: INFO: face_verification]: Extracting face...
[2025-06-05 20:05:55,031: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 20:05:55,396: INFO: sql_connection]: Connection established with database
[2025-06-05 20:05:55,415: INFO: sql_connection]: College ID table created or already exists
[2025-06-05 20:05:55,860: INFO: app]: Page layout set to wider configuration.
[2025-06-05 20:05:55,860: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 20:05:55,864: INFO: app]: ID card type selected: PAN
[2025-06-05 20:05:55,864: INFO: app]: Header set for PAN Card registration.
[2025-06-05 20:06:13,165: INFO: app]: Page layout set to wider configuration.
[2025-06-05 20:06:13,165: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 20:06:13,165: INFO: app]: ID card type selected: PAN
[2025-06-05 20:06:13,165: INFO: app]: Header set for PAN Card registration.
[2025-06-05 20:06:17,279: INFO: app]: Page layout set to wider configuration.
[2025-06-05 20:06:17,279: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 20:06:17,283: INFO: app]: ID card type selected: PAN
[2025-06-05 20:06:17,284: INFO: app]: Header set for PAN Card registration.
[2025-06-05 20:06:17,336: INFO: app]: ID card image loaded.
[2025-06-05 20:06:17,347: INFO: preprocess]: contours are found at, (0, 0, 1163, 723)
[2025-06-05 20:06:17,347: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2025-06-05 20:06:17,375: INFO: app]: ID card ROI extracted.
[2025-06-05 20:06:17,375: INFO: face_verification]: Extracting face...
[2025-06-05 20:06:17,914: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 20:06:17,914: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 20:06:17,996: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2025-06-05 20:06:17,996: INFO: app]: Faces extracted and saved.
[2025-06-05 20:06:17,996: INFO: face_verification]: Verifying the images....
[2025-06-05 20:06:17,998: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 20:06:17,998: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 20:06:25,309: INFO: face_verification]: Faces are verified as the same person
[2025-06-05 20:06:25,309: INFO: app]: Face verification status: successful.
[2025-06-05 20:06:25,309: INFO: ocr_engine]: Text Extraction Started...
[2025-06-05 20:06:25,325: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2025-06-05 20:06:26,869: INFO: ocr_engine]: Inside Try-Catch...
[2025-06-05 20:06:29,796: INFO: ocr_engine]: Extracted Text: |fetrT|HRT|INCOME TAX DEPARTMENT|GOVT OF INDIA|Permanent Account Number Card|LRIPK7739J|YASH KUMAR KASHYAP|GAURI SHANKAR NISHAD|12022022|Date ol Birth|10/04/2003|
[2025-06-05 20:06:29,812: INFO: app]: Text extracted from ID card.
[2025-06-05 20:06:29,812: INFO: sql_connection]: Fetched records successfully from users table.
[2025-06-05 20:06:29,812: INFO: sql_connection]: Fetched records successfully from users table.
[2025-06-05 20:06:29,812: INFO: sql_connection]: Duplicate records found.
[2025-06-05 20:06:44,784: INFO: app]: Page layout set to wider configuration.
[2025-06-05 20:06:44,784: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 20:06:44,799: INFO: app]: ID card type selected: AADHAR
[2025-06-05 20:06:44,799: INFO: app]: Header set for Aadhar Card registration.
[2025-06-05 20:06:44,827: INFO: app]: ID card image loaded.
[2025-06-05 20:06:44,835: INFO: preprocess]: contours are found at, (0, 0, 1163, 723)
[2025-06-05 20:06:44,835: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2025-06-05 20:06:44,847: INFO: app]: ID card ROI extracted.
[2025-06-05 20:06:44,847: INFO: face_verification]: Extracting face...
[2025-06-05 20:06:45,262: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 20:06:45,270: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 20:06:45,339: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2025-06-05 20:06:45,339: INFO: app]: Faces extracted and saved.
[2025-06-05 20:06:45,339: INFO: face_verification]: Verifying the images....
[2025-06-05 20:06:45,339: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 20:06:45,339: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 20:06:48,241: INFO: face_verification]: Faces are verified as the same person
[2025-06-05 20:06:48,241: INFO: app]: Face verification status: successful.
[2025-06-05 20:06:48,241: INFO: ocr_engine]: Text Extraction Started...
[2025-06-05 20:06:48,241: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2025-06-05 20:06:52,020: INFO: ocr_engine]: Inside Try-Catch...
[2025-06-05 20:06:52,375: INFO: app]: Page layout set to wider configuration.
[2025-06-05 20:06:52,375: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 20:06:52,380: INFO: app]: ID card type selected: AADHAR
[2025-06-05 20:06:52,380: INFO: app]: Header set for Aadhar Card registration.
[2025-06-05 20:06:52,614: INFO: app]: ID card image loaded.
[2025-06-05 20:06:52,652: INFO: preprocess]: contours are found at, (10, 5, 1264, 829)
[2025-06-05 20:06:52,652: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2025-06-05 20:06:52,812: INFO: app]: ID card ROI extracted.
[2025-06-05 20:06:52,813: INFO: face_verification]: Extracting face...
[2025-06-05 20:06:54,707: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 20:06:54,722: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 20:06:55,041: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2025-06-05 20:06:55,041: INFO: app]: Faces extracted and saved.
[2025-06-05 20:06:55,041: INFO: face_verification]: Verifying the images....
[2025-06-05 20:06:55,041: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 20:06:55,041: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 20:07:04,117: INFO: app]: Page layout set to wider configuration.
[2025-06-05 20:07:04,117: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 20:07:04,117: INFO: app]: ID card type selected: AADHAR
[2025-06-05 20:07:04,117: INFO: app]: Header set for Aadhar Card registration.
[2025-06-05 20:07:04,324: INFO: face_verification]: Faces are not verified as the same person
[2025-06-05 20:07:04,324: INFO: app]: Face verification status: failed.
[2025-06-05 20:07:05,591: INFO: app]: ID card image loaded.
[2025-06-05 20:07:05,607: INFO: preprocess]: contours are found at, (10, 5, 1264, 829)
